#Bucket,QLearnCC-
9.970000000000000000e+03,7.000000000000000000e+00
9.971000000000000000e+03,6.000000000000000000e+00
9.972000000000000000e+03,8.000000000000000000e+00
9.973000000000000000e+03,1.500000000000000000e+01
9.974000000000000000e+03,4.000000000000000000e+00
9.975000000000000000e+03,6.000000000000000000e+00
9.976000000000000000e+03,1.200000000000000000e+01
9.977000000000000000e+03,5.000000000000000000e+00
9.978000000000000000e+03,7.000000000000000000e+00
9.979000000000000000e+03,5.000000000000000000e+00
9.980000000000000000e+03,2.300000000000000000e+01
9.981000000000000000e+03,1.100000000000000000e+01
9.982000000000000000e+03,5.000000000000000000e+00
9.983000000000000000e+03,9.000000000000000000e+00
9.984000000000000000e+03,2.000000000000000000e+01
9.985000000000000000e+03,7.000000000000000000e+00
9.986000000000000000e+03,7.000000000000000000e+00
9.987000000000000000e+03,4.000000000000000000e+00
9.988000000000000000e+03,6.000000000000000000e+00
9.989000000000000000e+03,7.000000000000000000e+00
9.990000000000000000e+03,8.000000000000000000e+00
9.991000000000000000e+03,9.000000000000000000e+00
9.992000000000000000e+03,1.400000000000000000e+01
9.993000000000000000e+03,1.000000000000000000e+00
9.994000000000000000e+03,1.400000000000000000e+01
9.995000000000000000e+03,5.000000000000000000e+00
9.996000000000000000e+03,1.000000000000000000e+01
9.997000000000000000e+03,1.100000000000000000e+01
9.998000000000000000e+03,2.000000000000000000e+00
9.999000000000000000e+03,1.900000000000000000e+01
1.000000000000000000e+04,1.700000000000000000e+01
1.000100000000000000e+04,7.570000000000000000e+02
1.000200000000000000e+04,6.320000000000000000e+02
1.000300000000000000e+04,6.500000000000000000e+02
1.000400000000000000e+04,6.620000000000000000e+02
1.000500000000000000e+04,6.640000000000000000e+02
1.000600000000000000e+04,6.280000000000000000e+02
1.000700000000000000e+04,6.660000000000000000e+02
1.000800000000000000e+04,5.940000000000000000e+02
1.000900000000000000e+04,6.210000000000000000e+02
1.001000000000000000e+04,6.290000000000000000e+02
