Bucket,Value
999.5,33482.6
2999.5,45364.7
4999.5,46734.8
6999.5,46064.7
8999.5,46602.2
10999.5,47052.2
12999.5,47384.9
14999.5,44960.9
16999.5,45915.6
18999.5,47916.1
20999.5,45933.4
22999.5,46753
24999.5,47669.9
26999.5,46360.6
28999.5,47476.9
30999.5,46460.4
32999.5,46197.4
34999.5,46392.6
36999.5,46485.6
38999.5,46766.9
40999.5,46650.3
42999.5,47231.5
44999.5,45646.7
46999.5,46575
48999.5,46756
50999.5,47491.6
52999.5,46770.8
54999.5,46870.6
56999.5,46553.3
58999.5,45490.7
60999.5,45052.7
62999.5,47607.3
64999.5,46627.3
66999.5,46586.9
68999.5,46369.9
70999.5,45884.6
72999.5,46559.5
74999.5,47263.9
76999.5,47604.7
78999.5,46344.6
80999.5,46763.8
82999.5,46647.7
84999.5,45900.7
86999.5,45983.7
88999.5,47050.3
90999.5,45637.4
92999.5,46560.6
94999.5,46267.8
96999.5,47067
98999.5,45808
