#Bucket,AimdCC-delay=50ms
6.000000000000000000e+02,0.000000000000000000e+00
6.010000000000000000e+02,3.005442183505199900e+03
6.020000000000000000e+02,3.075816774643640200e+03
6.030000000000000000e+02,3.208019959107849900e+03
6.040000000000000000e+02,3.335775401083470100e+03
6.050000000000000000e+02,3.458287532071380200e+03
6.060000000000000000e+02,3.576138895050499700e+03
6.070000000000000000e+02,3.690798392275780300e+03
6.080000000000000000e+02,3.800603613557649600e+03
6.090000000000000000e+02,3.904579862060140400e+03
6.100000000000000000e+02,4.010211900711389700e+03
6.110000000000000000e+02,4.112860822515650400e+03
6.120000000000000000e+02,4.212924130291210500e+03
6.130000000000000000e+02,4.310653849112740300e+03
6.140000000000000000e+02,4.406878241866159400e+03
6.150000000000000000e+02,4.502499362049419700e+03
6.160000000000000000e+02,4.626476517536830200e+03
6.170000000000000000e+02,4.760223764116930400e+03
6.180000000000000000e+02,4.882711387940780700e+03
6.190000000000000000e+02,5.002391801773389500e+03
6.200000000000000000e+02,5.120739751024960200e+03
6.210000000000000000e+02,5.234300210033789000e+03
6.220000000000000000e+02,5.336085499393999300e+03
6.230000000000000000e+02,5.448604838539240500e+03
6.240000000000000000e+02,5.562769819108960300e+03
6.250000000000000000e+02,5.347072280570179800e+03
6.260000000000000000e+02,4.140064355713509900e+03
6.270000000000000000e+02,4.238389811395499200e+03
6.280000000000000000e+02,4.331027771418690500e+03
6.290000000000000000e+02,4.426162050148270300e+03
6.300000000000000000e+02,4.525934415185600300e+03
6.310000000000000000e+02,4.646689142372760200e+03
6.320000000000000000e+02,4.776242954955500000e+03
6.330000000000000000e+02,4.905103927419610000e+03
6.340000000000000000e+02,5.029557300952060400e+03
6.350000000000000000e+02,5.150050581354959800e+03
6.360000000000000000e+02,5.269398123394629700e+03
6.370000000000000000e+02,5.385798367530819600e+03
6.380000000000000000e+02,5.500625349103799600e+03
6.390000000000000000e+02,4.017953915839310400e+03
6.400000000000000000e+02,4.120539561090379700e+03
6.410000000000000000e+02,4.220763074111220700e+03
6.420000000000000000e+02,4.318513884899719400e+03
6.430000000000000000e+02,4.413597048806210300e+03
6.440000000000000000e+02,4.510419305403909700e+03
6.450000000000000000e+02,4.634777231539000200e+03
6.460000000000000000e+02,4.763468943855439600e+03
6.470000000000000000e+02,4.892481053726569400e+03
6.480000000000000000e+02,4.440999945665040300e+03
6.490000000000000000e+02,3.692361916849839400e+03
6.500000000000000000e+02,3.803631508159049600e+03
6.510000000000000000e+02,3.910054029382660700e+03
6.520000000000000000e+02,4.007205128523879900e+03
6.530000000000000000e+02,4.110411843852090000e+03
6.540000000000000000e+02,4.211537793510569800e+03
6.550000000000000000e+02,4.310019415244089900e+03
6.560000000000000000e+02,4.405882523760499700e+03
6.570000000000000000e+02,4.496157570588099600e+03
6.580000000000000000e+02,4.610194244225229300e+03
6.590000000000000000e+02,4.735881270756299300e+03
6.600000000000000000e+02,4.864262971303100100e+03
6.610000000000000000e+02,4.703119813894129900e+03
6.620000000000000000e+02,3.668184744070980300e+03
6.630000000000000000e+02,3.779919837923939700e+03
6.640000000000000000e+02,3.888535496269320000e+03
6.650000000000000000e+02,3.994035048390280300e+03
6.660000000000000000e+02,4.092892926777201000e+03
6.670000000000000000e+02,4.192111382670180300e+03
6.680000000000000000e+02,4.290067728347241400e+03
6.690000000000000000e+02,4.385748967372750500e+03
6.700000000000000000e+02,4.481314699605310100e+03
6.710000000000000000e+02,4.606402524534119900e+03
6.720000000000000000e+02,4.737106816295859100e+03
6.730000000000000000e+02,4.862585844420649700e+03
6.740000000000000000e+02,4.989519004093329400e+03
6.750000000000000000e+02,5.112796460221759800e+03
6.760000000000000000e+02,5.232936676049390400e+03
6.770000000000000000e+02,5.351007824616830500e+03
6.780000000000000000e+02,5.465812646422359600e+03
6.790000000000000000e+02,5.576357460433841000e+03
6.800000000000000000e+02,5.683316194389030900e+03
6.810000000000000000e+02,5.785808881273419500e+03
6.820000000000000000e+02,5.889597451727949200e+03
6.830000000000000000e+02,5.997207568338230000e+03
6.840000000000000000e+02,6.127477060946670500e+03
6.850000000000000000e+02,6.259841800733009200e+03
6.860000000000000000e+02,4.936266634680570000e+03
6.870000000000000000e+02,4.706120049228719800e+03
6.880000000000000000e+02,4.836430698422800600e+03
6.890000000000000000e+02,4.959901295501060300e+03
6.900000000000000000e+02,3.781673671059559200e+03
6.910000000000000000e+02,3.749073544893130000e+03
6.920000000000000000e+02,3.848747745290199900e+03
6.930000000000000000e+02,3.955207050993349600e+03
6.940000000000000000e+02,4.058810925781760500e+03
6.950000000000000000e+02,4.159738279266489400e+03
6.960000000000000000e+02,4.258460278919390500e+03
6.970000000000000000e+02,4.355046536653590000e+03
6.980000000000000000e+02,4.449628796083549800e+03
6.990000000000000000e+02,4.558481171577610400e+03
7.000000000000000000e+02,4.689705247929710800e+03
7.010000000000000000e+02,4.821247299284449600e+03
7.020000000000000000e+02,4.945819686083710600e+03
