#Bucket,AimdCC-delay=200ms
6.000000000000000000e+02,0.000000000000000000e+00
6.010000000000000000e+02,2.683344042051066500e+03
6.020000000000000000e+02,2.695679025072469800e+03
6.030000000000000000e+02,2.713105949253650100e+03
6.040000000000000000e+02,2.730858314115990200e+03
6.050000000000000000e+02,2.749347113818549600e+03
6.060000000000000000e+02,2.766662902489649700e+03
6.070000000000000000e+02,2.783993844586690600e+03
6.080000000000000000e+02,2.799786685006659800e+03
6.090000000000000000e+02,2.818236143058209600e+03
6.100000000000000000e+02,2.833662623527080100e+03
6.110000000000000000e+02,2.847332404228730400e+03
6.120000000000000000e+02,2.863796579635609300e+03
6.130000000000000000e+02,2.881819505250900000e+03
6.140000000000000000e+02,2.899803868853409800e+03
6.150000000000000000e+02,2.917669386065410000e+03
6.160000000000000000e+02,2.935458858027820000e+03
6.170000000000000000e+02,2.953159561540040200e+03
6.180000000000000000e+02,2.546277605305199400e+03
6.190000000000000000e+02,2.143602271412320100e+03
6.200000000000000000e+02,2.165841466083650200e+03
6.210000000000000000e+02,2.189392049057240000e+03
6.220000000000000000e+02,2.211200311860210100e+03
6.230000000000000000e+02,2.233097667138689800e+03
6.240000000000000000e+02,2.253853025634910000e+03
6.250000000000000000e+02,2.275121256680709800e+03
6.260000000000000000e+02,2.297890301814819800e+03
6.270000000000000000e+02,2.316048406527399900e+03
6.280000000000000000e+02,2.335175710497199800e+03
6.290000000000000000e+02,2.356362390667670300e+03
6.300000000000000000e+02,2.378370499354999500e+03
6.310000000000000000e+02,2.400077598538510300e+03
6.320000000000000000e+02,2.421032628748299900e+03
6.330000000000000000e+02,2.440990725038680000e+03
6.340000000000000000e+02,2.462179639390449700e+03
6.350000000000000000e+02,2.483253973833149800e+03
6.360000000000000000e+02,2.504180097672720000e+03
6.370000000000000000e+02,2.524085757250130000e+03
6.380000000000000000e+02,2.543434119713259400e+03
6.390000000000000000e+02,2.563855331539870300e+03
6.400000000000000000e+02,2.584188370285180100e+03
6.410000000000000000e+02,2.603028913374239900e+03
6.420000000000000000e+02,2.620349711337140000e+03
6.430000000000000000e+02,2.638167225460189900e+03
6.440000000000000000e+02,2.655655852460950000e+03
6.450000000000000000e+02,2.673305551677080100e+03
6.460000000000000000e+02,2.690371733218139500e+03
6.470000000000000000e+02,2.708961879042939900e+03
6.480000000000000000e+02,2.728217510249599400e+03
6.490000000000000000e+02,2.747349902437610100e+03
6.500000000000000000e+02,2.766282819567460100e+03
6.510000000000000000e+02,2.784345773329329900e+03
6.520000000000000000e+02,2.801963162603719900e+03
6.530000000000000000e+02,2.820560194336860100e+03
6.540000000000000000e+02,2.838927346233240300e+03
6.550000000000000000e+02,2.857245046081420200e+03
6.560000000000000000e+02,2.875479637121470200e+03
6.570000000000000000e+02,2.892403863817870400e+03
6.580000000000000000e+02,2.909980364553840400e+03
6.590000000000000000e+02,2.926856659347850400e+03
6.600000000000000000e+02,2.942358176534940000e+03
6.610000000000000000e+02,2.959808846482889700e+03
6.620000000000000000e+02,2.977316594480489600e+03
6.630000000000000000e+02,2.993175916344310300e+03
6.640000000000000000e+02,3.014015135650609400e+03
6.650000000000000000e+02,3.046562675794740200e+03
6.660000000000000000e+02,3.074395529535149300e+03
6.670000000000000000e+02,3.098310839326350100e+03
6.680000000000000000e+02,3.128553021345869600e+03
6.690000000000000000e+02,3.153804859999300300e+03
6.700000000000000000e+02,3.177709141542819500e+03
6.710000000000000000e+02,3.199849914909549600e+03
6.720000000000000000e+02,3.228048362362230400e+03
6.730000000000000000e+02,2.511249972814740000e+03
6.740000000000000000e+02,2.345774055571149800e+03
6.750000000000000000e+02,2.366532691457409800e+03
6.760000000000000000e+02,2.387333576283380400e+03
6.770000000000000000e+02,2.405749018728200100e+03
6.780000000000000000e+02,2.425922716250750900e+03
6.790000000000000000e+02,2.446333796667369400e+03
6.800000000000000000e+02,2.467075181935209900e+03
6.810000000000000000e+02,2.484105268127970200e+03
6.820000000000000000e+02,2.501286353757660400e+03
6.830000000000000000e+02,2.520056744671489900e+03
6.840000000000000000e+02,2.540547718541739900e+03
6.850000000000000000e+02,2.560650747260969600e+03
6.860000000000000000e+02,2.579325537887039900e+03
6.870000000000000000e+02,2.599438783068560000e+03
6.880000000000000000e+02,2.619473133753320300e+03
6.890000000000000000e+02,2.638765892390519600e+03
6.900000000000000000e+02,2.657194982165190100e+03
6.910000000000000000e+02,2.676851388746310000e+03
6.920000000000000000e+02,2.696320571383700100e+03
6.930000000000000000e+02,2.715578720643809900e+03
6.940000000000000000e+02,2.734666403981360000e+03
6.950000000000000000e+02,2.753630411446579700e+03
6.960000000000000000e+02,2.772489791759150200e+03
6.970000000000000000e+02,2.791224972460330300e+03
6.980000000000000000e+02,2.809835225700259800e+03
6.990000000000000000e+02,2.828400286328890600e+03
7.000000000000000000e+02,2.440112934416579700e+03
7.010000000000000000e+02,2.057115012576800400e+03
7.020000000000000000e+02,2.082375155504209900e+03
7.030000000000000000e+02,2.106626313316549800e+03
7.040000000000000000e+02,2.129622917008689900e+03
7.050000000000000000e+02,2.153946447686280000e+03
7.060000000000000000e+02,2.177975430939030000e+03
7.070000000000000000e+02,2.201734325058990200e+03
7.080000000000000000e+02,2.225228322640140500e+03
7.090000000000000000e+02,2.248528881624740300e+03
7.100000000000000000e+02,2.271671861614579900e+03
7.110000000000000000e+02,2.294544191485979800e+03
7.120000000000000000e+02,2.317150650702299600e+03
7.130000000000000000e+02,2.339414714051300100e+03
7.140000000000000000e+02,2.361494050743599900e+03
7.150000000000000000e+02,2.383371016303100100e+03
7.160000000000000000e+02,2.405049020030830000e+03
7.170000000000000000e+02,2.426576259257800300e+03
7.180000000000000000e+02,2.447775511406990100e+03
7.190000000000000000e+02,2.468880573298670200e+03
7.200000000000000000e+02,2.489935889679170000e+03
7.210000000000000000e+02,2.510947314493729700e+03
7.220000000000000000e+02,2.531847844653139900e+03
7.230000000000000000e+02,2.552442293021029900e+03
7.240000000000000000e+02,2.572787695842509900e+03
7.250000000000000000e+02,2.593043548222490200e+03
7.260000000000000000e+02,2.613210169308540100e+03
7.270000000000000000e+02,2.633212425480000100e+03
7.280000000000000000e+02,2.653018040174480100e+03
7.290000000000000000e+02,2.672666463419810000e+03
7.300000000000000000e+02,2.691948419812970300e+03
7.310000000000000000e+02,2.711033504846630000e+03
7.320000000000000000e+02,2.729495411890359700e+03
7.330000000000000000e+02,2.747158323330880200e+03
7.340000000000000000e+02,2.766060141031890000e+03
7.350000000000000000e+02,2.784809271888030300e+03
7.360000000000000000e+02,2.803455680571089900e+03
7.370000000000000000e+02,2.821977186529590700e+03
7.380000000000000000e+02,2.840401348722619800e+03
7.390000000000000000e+02,2.858652529920679600e+03
7.400000000000000000e+02,2.876715483905390100e+03
7.410000000000000000e+02,2.894663558475359400e+03
7.420000000000000000e+02,2.912584772981060300e+03
7.430000000000000000e+02,2.930364317924400000e+03
7.440000000000000000e+02,2.948024747558980400e+03
7.450000000000000000e+02,2.965561757953979800e+03
7.460000000000000000e+02,2.983081881602139700e+03
7.470000000000000000e+02,3.001572222018229700e+03
7.480000000000000000e+02,3.030726850822810300e+03
7.490000000000000000e+02,3.064869604961610100e+03
7.500000000000000000e+02,3.093465511764230100e+03
7.510000000000000000e+02,3.124857588553280000e+03
7.520000000000000000e+02,3.152632224350260000e+03
7.530000000000000000e+02,3.184547151819219800e+03
7.540000000000000000e+02,3.217306913081919900e+03
7.550000000000000000e+02,3.249654682834940100e+03
7.560000000000000000e+02,3.280471019877369600e+03
7.570000000000000000e+02,3.306729048840490600e+03
7.580000000000000000e+02,3.333797020680559900e+03
7.590000000000000000e+02,3.359483552358100000e+03
7.600000000000000000e+02,3.386947418129740100e+03
7.610000000000000000e+02,3.414958070495110000e+03
7.620000000000000000e+02,3.444087711370839800e+03
7.630000000000000000e+02,3.473142356478470000e+03
7.640000000000000000e+02,3.499625535588260400e+03
7.650000000000000000e+02,3.526416305699330200e+03
7.660000000000000000e+02,3.555853983999999900e+03
7.670000000000000000e+02,3.585056065579030000e+03
7.680000000000000000e+02,3.613691417458040200e+03
7.690000000000000000e+02,3.639288751103020300e+03
7.700000000000000000e+02,3.663648323711139700e+03
7.710000000000000000e+02,3.690060226894240700e+03
7.720000000000000000e+02,3.717174089036139800e+03
7.730000000000000000e+02,3.744530827451490000e+03
7.740000000000000000e+02,3.772481639433779500e+03
7.750000000000000000e+02,3.799980211155439500e+03
7.760000000000000000e+02,3.825285838421160000e+03
7.770000000000000000e+02,3.847672424030809500e+03
7.780000000000000000e+02,3.871605520881800700e+03
7.790000000000000000e+02,3.896563687483630000e+03
7.800000000000000000e+02,3.921870147152670100e+03
7.810000000000000000e+02,3.946353665075059800e+03
7.820000000000000000e+02,3.971003680880289700e+03
7.830000000000000000e+02,3.994493401354269700e+03
7.840000000000000000e+02,4.019396690569020400e+03
7.850000000000000000e+02,4.044481138899559900e+03
7.860000000000000000e+02,4.068216175632420300e+03
7.870000000000000000e+02,4.091786331814570500e+03
7.880000000000000000e+02,4.114188650050299700e+03
7.890000000000000000e+02,4.137322769079299200e+03
7.900000000000000000e+02,3.091779849791820200e+03
7.910000000000000000e+02,2.990911316282540600e+03
7.920000000000000000e+02,3.013760157663620200e+03
7.930000000000000000e+02,3.047073667450780200e+03
7.940000000000000000e+02,3.078708666043759900e+03
7.950000000000000000e+02,3.111048393283460000e+03
7.960000000000000000e+02,3.144138894713520100e+03
7.970000000000000000e+02,2.449849882140790200e+03
7.980000000000000000e+02,2.292480343528009600e+03
7.990000000000000000e+02,2.315099193231960300e+03
8.000000000000000000e+02,2.337479155764520300e+03
8.010000000000000000e+02,2.359499194679349800e+03
8.020000000000000000e+02,2.381432568710260100e+03
8.030000000000000000e+02,2.403288487010320300e+03
8.040000000000000000e+02,2.424802400965239500e+03
8.050000000000000000e+02,2.446191487961160400e+03
8.060000000000000000e+02,2.467504531115369900e+03
8.070000000000000000e+02,2.488716544268899700e+03
8.080000000000000000e+02,2.509736657334359700e+03
8.090000000000000000e+02,2.530628320357000100e+03
8.100000000000000000e+02,2.551405106053110100e+03
8.110000000000000000e+02,2.571998684627819800e+03
8.120000000000000000e+02,2.592302449972360600e+03
8.130000000000000000e+02,2.612413301655010400e+03
8.140000000000000000e+02,2.632314505064520300e+03
8.150000000000000000e+02,2.651945503471589700e+03
8.160000000000000000e+02,2.671495545358030100e+03
8.170000000000000000e+02,2.690961125452679900e+03
8.180000000000000000e+02,2.710247088447179500e+03
8.190000000000000000e+02,2.729452806739870100e+03
8.200000000000000000e+02,2.748404110104050200e+03
8.210000000000000000e+02,2.767169224189900000e+03
8.220000000000000000e+02,2.785922259415759500e+03
8.230000000000000000e+02,2.804567257990820500e+03
8.240000000000000000e+02,2.823064570482610200e+03
8.250000000000000000e+02,2.841522973165189800e+03
8.260000000000000000e+02,2.859903826424360000e+03
8.270000000000000000e+02,2.878245730149039400e+03
8.280000000000000000e+02,2.896429531942299900e+03
8.290000000000000000e+02,2.914379483691919600e+03
8.300000000000000000e+02,2.932160088511569500e+03
8.310000000000000000e+02,2.949878809351309900e+03
8.320000000000000000e+02,2.965929640783060200e+03
8.330000000000000000e+02,2.981538077801110400e+03
8.340000000000000000e+02,2.995835576671680400e+03
8.350000000000000000e+02,3.017385949307400100e+03
8.360000000000000000e+02,3.049791846257620400e+03
8.370000000000000000e+02,3.083293406725050300e+03
8.380000000000000000e+02,3.114558773543450100e+03
8.390000000000000000e+02,3.146895438813509800e+03
8.400000000000000000e+02,3.179545634748549700e+03
8.410000000000000000e+02,3.207956539319529800e+03
8.420000000000000000e+02,3.236597344380639700e+03
8.430000000000000000e+02,3.266468385026830200e+03
