#decrease,AimdCC-increase=0.5,AimdCC-increase=0.75,AimdCC-increase=1.0,AimdCC-increase=1.5
1.050000000000000000e+00,7.889864237911099900e+04,8.459292469738599900e+04,9.442616672047200000e+04,9.147339266791600700e+04
1.100000000000000100e+00,6.835212126683999700e+04,7.584181761486300100e+04,8.639810814507299800e+04,8.527694772632099900e+04
1.149999999999999900e+00,5.805758297780899700e+04,8.085244853972499500e+04,6.937568737793200100e+04,8.427616897123800300e+04
1.200000000000000000e+00,6.597828753419000700e+04,5.372315728539699900e+04,6.700862984862799900e+04,8.006376024904000200e+04
1.250000000000000000e+00,5.702248302020200200e+04,6.623504636477200300e+04,7.826452898903199800e+04,7.008885022845199300e+04
1.300000000000000000e+00,5.601945533684799700e+04,1.380198319001800000e+04,6.627520687312800100e+04,6.216251753638400300e+04
1.350000000000000100e+00,7.421732006880200100e+04,4.126940687761199700e+04,5.969784186910800100e+04,7.633676073231500000e+04
1.399999999999999900e+00,4.975922731023900300e+04,1.749309222355300200e+04,6.089702147926000200e+04,7.989611976075700700e+04
1.450000000000000000e+00,5.116675861694900200e+04,4.499535996441000300e+04,5.612645369850200200e+04,5.323702053840200100e+04
1.500000000000000000e+00,5.042199552382400000e+04,3.629141198493899700e+04,1.290602775033599900e+04,5.842123768131699800e+04
1.550000000000000000e+00,6.065413270691299800e+04,1.751049971443599900e+04,5.366467918868499700e+04,6.538127009518999700e+04
1.600000000000000100e+00,5.377089986332799900e+04,4.640409896429599800e+04,6.046041270126099700e+04,1.294980201439900000e+04
