#Bucket,PerfectCC-
1.000000000000000000e+02,4.303600000000000000e+04
1.010000000000000000e+02,4.372500000000000000e+04
1.020000000000000000e+02,4.293000000000000000e+04
1.030000000000000000e+02,4.377800000000000000e+04
1.040000000000000000e+02,4.388400000000000000e+04
1.050000000000000000e+02,4.282400000000000000e+04
1.060000000000000000e+02,4.383100000000000000e+04
1.070000000000000000e+02,4.250600000000000000e+04
1.080000000000000000e+02,4.340700000000000000e+04
1.090000000000000000e+02,4.361900000000000000e+04
1.100000000000000000e+02,4.330100000000000000e+04
1.110000000000000000e+02,4.346000000000000000e+04
1.120000000000000000e+02,4.346000000000000000e+04
1.130000000000000000e+02,4.303600000000000000e+04
1.140000000000000000e+02,4.324800000000000000e+04
1.150000000000000000e+02,4.388400000000000000e+04
1.160000000000000000e+02,4.266500000000000000e+04
1.170000000000000000e+02,4.303600000000000000e+04
1.180000000000000000e+02,4.420200000000000000e+04
1.190000000000000000e+02,4.377800000000000000e+04
1.200000000000000000e+02,4.255900000000000000e+04
1.210000000000000000e+02,4.298300000000000000e+04
1.220000000000000000e+02,4.420200000000000000e+04
1.230000000000000000e+02,4.293000000000000000e+04
1.240000000000000000e+02,4.351300000000000000e+04
1.250000000000000000e+02,4.335400000000000000e+04
1.260000000000000000e+02,4.340700000000000000e+04
1.270000000000000000e+02,4.319500000000000000e+04
1.280000000000000000e+02,4.330100000000000000e+04
1.290000000000000000e+02,4.356600000000000000e+04
1.300000000000000000e+02,4.250600000000000000e+04
1.310000000000000000e+02,4.409600000000000000e+04
1.320000000000000000e+02,4.356600000000000000e+04
1.330000000000000000e+02,4.303600000000000000e+04
1.340000000000000000e+02,4.425500000000000000e+04
1.350000000000000000e+02,4.356600000000000000e+04
1.360000000000000000e+02,4.266500000000000000e+04
1.370000000000000000e+02,4.324800000000000000e+04
1.380000000000000000e+02,4.282400000000000000e+04
1.390000000000000000e+02,4.404300000000000000e+04
1.400000000000000000e+02,4.287700000000000000e+04
1.410000000000000000e+02,4.351300000000000000e+04
1.420000000000000000e+02,4.314200000000000000e+04
1.430000000000000000e+02,4.330100000000000000e+04
1.440000000000000000e+02,4.436100000000000000e+04
1.450000000000000000e+02,4.282400000000000000e+04
1.460000000000000000e+02,4.314200000000000000e+04
1.470000000000000000e+02,4.314200000000000000e+04
1.480000000000000000e+02,4.393700000000000000e+04
1.490000000000000000e+02,4.293000000000000000e+04
1.500000000000000000e+02,4.330100000000000000e+04
1.510000000000000000e+02,4.356600000000000000e+04
1.520000000000000000e+02,4.287700000000000000e+04
