#Bucket,AimdCC-
3.000000000000000000e+04,2.252546405489099900e+03
3.000100000000000000e+04,2.262835480549899800e+03
3.000200000000000000e+04,2.262835480549899800e+03
3.000300000000000000e+04,2.273199340734699900e+03
3.000400000000000000e+04,2.278363551916099800e+03
3.000500000000000000e+04,2.283516057732500000e+03
3.000600000000000000e+04,2.288656937479399900e+03
3.000700000000000000e+04,2.293786269560900100e+03
3.000800000000000000e+04,2.299070949981799900e+03
3.000900000000000000e+04,2.304343482953600000e+03
3.001000000000000000e+04,2.309603951923700200e+03
3.001100000000000000e+04,2.314899039305600100e+03
3.001200000000000000e+04,2.319921264624300000e+03
3.001300000000000000e+04,2.324932617700199900e+03
3.001400000000000000e+04,2.330099313999900000e+03
3.001500000000000000e+04,2.335254553813400000e+03
3.001600000000000000e+04,2.340398413069900000e+03
3.001700000000000000e+04,2.345530966863199900e+03
3.001800000000000000e+04,2.350652289464600000e+03
3.001900000000000000e+04,2.355762454335299900e+03
3.002000000000000000e+04,2.360626969324399900e+03
3.002100000000000000e+04,2.365414548923799900e+03
3.002200000000000000e+04,2.370192438501500000e+03
3.002300000000000000e+04,2.374940074788200000e+03
3.002400000000000000e+04,2.379675850529300100e+03
3.002500000000000000e+04,2.384402201637300100e+03
3.002600000000000000e+04,2.389119184193799800e+03
3.002700000000000000e+04,2.393826853726200200e+03
3.002800000000000000e+04,2.393826853726200200e+03
3.002900000000000000e+04,2.403325315418800100e+03
3.003000000000000000e+04,2.408115778704499900e+03
3.003100000000000000e+04,2.412896712324400100e+03
3.003200000000000000e+04,2.417603541392600200e+03
3.003300000000000000e+04,2.422301206741599800e+03
3.003400000000000000e+04,2.426989761720799800e+03
3.003500000000000000e+04,2.431669259163799800e+03
3.003600000000000000e+04,2.436339751395099900e+03
3.003700000000000000e+04,2.441263807106100100e+03
3.003800000000000000e+04,2.446177930943099900e+03
3.003900000000000000e+04,2.451082182802700100e+03
3.004000000000000000e+04,2.455751277356199800e+03
3.004100000000000000e+04,2.460411494608300000e+03
3.004200000000000000e+04,2.465062885034200000e+03
3.004300000000000000e+04,2.469665492104300000e+03
3.004400000000000000e+04,2.474259521497700000e+03
3.004500000000000000e+04,2.479010686498800200e+03
3.004600000000000000e+04,2.483752745621799900e+03
3.004700000000000000e+04,2.488485751055900000e+03
3.004800000000000000e+04,2.493209754493399900e+03
3.004900000000000000e+04,2.497734679764900200e+03
3.005000000000000000e+04,2.502260838624100000e+03
3.005100000000000000e+04,2.506928786556000000e+03
3.005200000000000000e+04,2.511588042682300100e+03
3.005300000000000000e+04,2.516435261625400000e+03
3.005400000000000000e+04,2.521273143737199900e+03
3.005500000000000000e+04,2.526101742799499800e+03
3.005600000000000000e+04,2.530921112079699900e+03
3.005700000000000000e+04,2.535731304337200100e+03
3.005800000000000000e+04,2.540522058027600000e+03
3.005900000000000000e+04,2.545154686988400000e+03
3.006000000000000000e+04,2.549778883750099800e+03
3.006100000000000000e+04,2.554394694217699900e+03
3.006200000000000000e+04,2.559101969072699800e+03
3.006300000000000000e+04,2.563701964583900000e+03
3.006400000000000000e+04,2.568358144024400200e+03
3.006500000000000000e+04,2.573005882271900200e+03
3.006600000000000000e+04,2.577645225097100100e+03
3.006700000000000000e+04,2.582276217858700000e+03
3.006800000000000000e+04,2.586898905507900100e+03
