Bucket,Value
49.5,13925.2
149.5,15474.9
249.5,18317.9
349.5,20488.7
449.5,22998.3
549.5,25593.2
649.5,28136.1
749.5,30409.3
849.5,31947.3
949.5,32467.8
1049.5,32896.6
1149.5,32428.6
1249.5,32251
1349.5,32097.9
1449.5,32127.5
1549.5,32623.6
1649.5,32497.5
1749.5,32580.2
1849.5,32919.4
1949.5,32893.4
2049.5,33338.6
2149.5,32790
2249.5,32475.2
2349.5,32426.5
2449.5,32525.6
2549.5,32507
2649.5,32576.5
2749.5,32587.6
2849.5,32336.4
2949.5,31741.2
3049.5,32053.3
3149.5,33097.4
3249.5,32964.4
3349.5,32816
3449.5,32746.6
3549.5,33031.2
3649.5,32383.5
3749.5,31858.3
3849.5,31704.1
3949.5,32192.2
4049.5,31961.7
4149.5,32362.3
4249.5,32530.9
4349.5,31792
4449.5,31816.4
4549.5,31566.3
4649.5,32581.8
4749.5,32292.9
4849.5,32712.7
4949.5,32985.6
5049.5,33777.4
5149.5,34034.5
5249.5,33522.5
5349.5,33778
5449.5,33990.5
5549.5,34191.4
5649.5,34172.3
5749.5,33897.7
5849.5,34155.3
5949.5,34482.3
6049.5,34584.6
6149.5,34407.6
6249.5,33737.7
6349.5,33737.2
6449.5,34287.8
6549.5,34635.5
6649.5,33966.1
6749.5,32862.7
6849.5,32226.7
6949.5,32431.8
7049.5,32554.7
7149.5,32927.3
7249.5,32932.6
7349.5,33231
7449.5,32962.3
7549.5,32402.1
7649.5,32296.6
7749.5,33423.9
7849.5,33598.8
7949.5,33182.8
8049.5,32908.2
8149.5,33301.5
8249.5,33426
8349.5,33204
8449.5,33131.9
8549.5,32786.3
8649.5,33349.2
8749.5,34048.3
8849.5,34779.1
8949.5,34861.3
9049.5,34912.2
9149.5,34708.1
9249.5,34322.3
9349.5,33633.8
9449.5,32718
9549.5,32582.3
9649.5,32358.1
9749.5,31768.7
9849.5,31488.4
9949.5,31499.5
10049.5,24975.7
10149.5,26624
10249.5,28597.7
10349.5,30008.1
10449.5,31074.4
10549.5,31595.4
10649.5,32216
10749.5,32432.8
10849.5,32968.7
10949.5,33773.2
11049.5,33698.5
11149.5,33005.2
11249.5,32617.3
11349.5,33028.5
11449.5,33551.7
11549.5,33259.6
11649.5,33860.1
11749.5,33989.4
11849.5,33753.1
11949.5,33736.6
12049.5,32984
12149.5,33092.1
12249.5,32808.6
12349.5,33067.2
12449.5,32427.5
12549.5,31131.1
12649.5,31413.6
12749.5,31465.6
12849.5,31329.4
12949.5,30685.4
13049.5,30388.1
13149.5,30602.2
13249.5,30877.8
13349.5,31891.2
13449.5,32415.3
13549.5,32985.1
13649.5,33491.2
13749.5,33192.3
13849.5,32429.6
13949.5,31795.8
14049.5,31611.8
14149.5,31495.2
14249.5,32167.8
14349.5,31889.6
14449.5,31824.4
14549.5,31991.9
14649.5,31812.7
14749.5,32207.6
14849.5,32550.5
14949.5,32668.1
15049.5,32923.1
15149.5,33063
15249.5,31994
15349.5,31981.8
15449.5,32642.2
15549.5,33273.4
15649.5,33391.1
15749.5,33257
15849.5,33872.3
15949.5,34135.2
16049.5,33093.7
16149.5,32902.9
16249.5,32109.5
16349.5,32193.8
16449.5,31823.3
16549.5,31965.9
16649.5,32400
16749.5,32383
16849.5,32326.3
16949.5,32444.5
17049.5,32265.3
17149.5,33206.1
17249.5,33258.6
17349.5,32552.1
17449.5,32622.6
17549.5,32066.6
17649.5,32167.8
17749.5,31991.9
17849.5,32721.1
17949.5,32521.9
18049.5,32697.3
18149.5,32943.7
18249.5,32809.1
18349.5,33240
18449.5,33625.3
18549.5,33688.9
18649.5,32882.8
18749.5,32763.5
18849.5,32773.1
18949.5,32395.2
19049.5,32508.6
19149.5,33108
19249.5,33624.8
19349.5,34261.3
19449.5,33049.2
19549.5,33375.7
19649.5,32429.6
19749.5,32955.9
19849.5,34125.6
19949.5,34881.4
