Bucket,Value
49.5,41069.2
149.5,58189.2
249.5,59786.1
349.5,55562
449.5,55221.8
549.5,55527
649.5,55832.3
749.5,55954.2
849.5,56381.9
949.5,56770.4
1049.5,57777.9
1149.5,58129.9
1249.5,58771.2
1349.5,59209.5
1449.5,59542.8
1549.5,59705
1649.5,59842.3
1749.5,59817.9
1849.5,60420.5
1949.5,61351.7
2049.5,61378.8
2149.5,61580.7
2249.5,62201.3
2349.5,62271.3
2449.5,61756.1
2549.5,61792.2
2649.5,61907.2
2749.5,61454
2849.5,61412.2
2949.5,61442.9
3049.5,62020.6
3149.5,62270.2
3249.5,62583.5
3349.5,62726.6
3449.5,63114
3549.5,63311.7
3649.5,63673.1
3749.5,63717.7
3849.5,64255.6
3949.5,64381.2
4049.5,63747.3
4149.5,63598.4
4249.5,63539.6
4349.5,63646.6
4449.5,63778.1
4549.5,64382.8
4649.5,64290.1
4749.5,64059.5
4849.5,64239.7
4949.5,64423.6
5049.5,64529.6
5149.5,64152.3
5249.5,64209.5
5349.5,63509.4
5449.5,62891.9
5549.5,63047.2
5649.5,63240.7
5749.5,63103.9
5849.5,63337.1
5949.5,63511.5
6049.5,63655.1
6149.5,63603.2
6249.5,63906.3
6349.5,63525.8
6449.5,63953.5
6549.5,64163.4
6649.5,64140.6
6749.5,64215.9
6849.5,63811.5
6949.5,64220.6
7049.5,63700.7
7149.5,63645.1
7249.5,63554.4
7349.5,63961.5
7449.5,64432.1
7549.5,64118.3
7649.5,64417.3
7749.5,64845.5
7849.5,65043.7
7949.5,65272.2
8049.5,65336.3
8149.5,65300.8
8249.5,65911.9
8349.5,65780.4
8449.5,65324.1
8549.5,65694.6
8649.5,65618.2
8749.5,65221.8
8849.5,65442.3
8949.5,65671.2
9049.5,65258.4
9149.5,65588.6
9249.5,65453.9
9349.5,65309.2
9449.5,64948.3
9549.5,64827.5
9649.5,65071.3
9749.5,64937.2
9849.5,64854.5
9949.5,65242.5
10049.5,33120.8
10149.5,34916.4
10249.5,34602.1
10349.5,34463.8
10449.5,34604.2
10549.5,35146.9
10649.5,35735.8
10749.5,36299.2
10849.5,36979.7
10949.5,37613.6
11049.5,37987.8
11149.5,38805
11249.5,39011.2
11349.5,39526.3
11449.5,39598.4
11549.5,40129.5
11649.5,40874.7
11749.5,41451.8
11849.5,41783.6
11949.5,42231.5
12049.5,42113.8
12149.5,42363.4
12249.5,43269.7
12349.5,43457.3
12449.5,43312.1
12549.5,44185.6
12649.5,45024
12749.5,45309.2
12849.5,44978.4
12949.5,45064.3
13049.5,45572.6
13149.5,45022.4
13249.5,45564.6
13349.5,46440.7
13449.5,47121.2
13549.5,47616.8
13649.5,47700
13749.5,47616.8
13849.5,47723.3
13949.5,47600.9
14049.5,48171.7
14149.5,48874.5
14249.5,49488.2
14349.5,50018.2
14449.5,49346.7
14549.5,49301.7
14649.5,49661
14749.5,50138.5
14849.5,50255.1
14949.5,50547.7
15049.5,50779.8
15149.5,50718.3
15249.5,50000.2
15349.5,49915.4
15449.5,50419.4
15549.5,50336.2
15649.5,50531.8
15749.5,50320.3
15849.5,50949.4
15949.5,51473.6
16049.5,52501.3
16149.5,52773.7
16249.5,53480.2
16349.5,53306.9
16449.5,54181.4
16549.5,54187.2
16649.5,54582.6
16749.5,54895.3
16849.5,54903.8
16949.5,54864
17049.5,54864.5
17149.5,54303.3
17249.5,54388.1
17349.5,54689.1
17449.5,54673.2
17549.5,54991.7
17649.5,55041
17749.5,54989.6
17849.5,54389.7
17949.5,54390.7
18049.5,54275.7
18149.5,54082.3
18249.5,54504.1
18349.5,54851.8
18449.5,54901.1
18549.5,54835.9
18649.5,55678.6
18749.5,56353.3
18849.5,56916.7
18949.5,57130.8
19049.5,57194.4
19149.5,56740.7
19249.5,56405.8
19349.5,56409
19449.5,56449.8
19549.5,57095.3
19649.5,57660.3
19749.5,57210.8
19849.5,56995.1
19949.5,56829.8
