#Bucket,QLearnCC-
9.950000000000000000e+03,4.000000000000000000e+00
9.951000000000000000e+03,1.700000000000000000e+01
9.952000000000000000e+03,1.100000000000000000e+01
9.953000000000000000e+03,0.000000000000000000e+00
9.954000000000000000e+03,6.000000000000000000e+00
9.955000000000000000e+03,1.600000000000000000e+01
9.956000000000000000e+03,9.000000000000000000e+00
9.957000000000000000e+03,8.000000000000000000e+00
9.958000000000000000e+03,4.000000000000000000e+00
9.959000000000000000e+03,4.000000000000000000e+00
9.960000000000000000e+03,7.000000000000000000e+00
9.961000000000000000e+03,2.000000000000000000e+00
9.962000000000000000e+03,1.000000000000000000e+00
9.963000000000000000e+03,5.000000000000000000e+00
9.964000000000000000e+03,7.000000000000000000e+00
9.965000000000000000e+03,9.000000000000000000e+00
9.966000000000000000e+03,9.000000000000000000e+00
9.967000000000000000e+03,3.000000000000000000e+00
9.968000000000000000e+03,6.000000000000000000e+00
9.969000000000000000e+03,0.000000000000000000e+00
9.970000000000000000e+03,7.000000000000000000e+00
9.971000000000000000e+03,6.000000000000000000e+00
9.972000000000000000e+03,8.000000000000000000e+00
9.973000000000000000e+03,1.500000000000000000e+01
9.974000000000000000e+03,4.000000000000000000e+00
9.975000000000000000e+03,6.000000000000000000e+00
9.976000000000000000e+03,1.200000000000000000e+01
9.977000000000000000e+03,5.000000000000000000e+00
9.978000000000000000e+03,7.000000000000000000e+00
9.979000000000000000e+03,5.000000000000000000e+00
9.980000000000000000e+03,2.300000000000000000e+01
9.981000000000000000e+03,1.100000000000000000e+01
9.982000000000000000e+03,5.000000000000000000e+00
9.983000000000000000e+03,9.000000000000000000e+00
9.984000000000000000e+03,2.000000000000000000e+01
9.985000000000000000e+03,7.000000000000000000e+00
9.986000000000000000e+03,7.000000000000000000e+00
9.987000000000000000e+03,4.000000000000000000e+00
9.988000000000000000e+03,6.000000000000000000e+00
9.989000000000000000e+03,7.000000000000000000e+00
9.990000000000000000e+03,8.000000000000000000e+00
9.991000000000000000e+03,9.000000000000000000e+00
9.992000000000000000e+03,1.400000000000000000e+01
9.993000000000000000e+03,1.000000000000000000e+00
9.994000000000000000e+03,1.400000000000000000e+01
9.995000000000000000e+03,5.000000000000000000e+00
9.996000000000000000e+03,1.000000000000000000e+01
9.997000000000000000e+03,1.100000000000000000e+01
9.998000000000000000e+03,2.000000000000000000e+00
9.999000000000000000e+03,1.900000000000000000e+01
1.000000000000000000e+04,1.700000000000000000e+01
1.000100000000000000e+04,7.570000000000000000e+02
1.000200000000000000e+04,6.320000000000000000e+02
1.000300000000000000e+04,6.500000000000000000e+02
1.000400000000000000e+04,6.620000000000000000e+02
1.000500000000000000e+04,6.640000000000000000e+02
1.000600000000000000e+04,6.280000000000000000e+02
1.000700000000000000e+04,6.660000000000000000e+02
1.000800000000000000e+04,5.940000000000000000e+02
1.000900000000000000e+04,6.210000000000000000e+02
1.001000000000000000e+04,6.290000000000000000e+02
1.001100000000000000e+04,6.490000000000000000e+02
1.001200000000000000e+04,6.120000000000000000e+02
1.001300000000000000e+04,6.040000000000000000e+02
1.001400000000000000e+04,6.030000000000000000e+02
1.001500000000000000e+04,6.150000000000000000e+02
1.001600000000000000e+04,6.200000000000000000e+02
1.001700000000000000e+04,5.790000000000000000e+02
1.001800000000000000e+04,5.700000000000000000e+02
1.001900000000000000e+04,5.440000000000000000e+02
1.002000000000000000e+04,5.480000000000000000e+02
1.002100000000000000e+04,5.650000000000000000e+02
1.002200000000000000e+04,5.310000000000000000e+02
1.002300000000000000e+04,5.420000000000000000e+02
1.002400000000000000e+04,5.520000000000000000e+02
1.002500000000000000e+04,5.450000000000000000e+02
1.002600000000000000e+04,5.330000000000000000e+02
1.002700000000000000e+04,5.670000000000000000e+02
1.002800000000000000e+04,5.160000000000000000e+02
1.002900000000000000e+04,5.120000000000000000e+02
1.003000000000000000e+04,5.180000000000000000e+02
1.003100000000000000e+04,5.030000000000000000e+02
1.003200000000000000e+04,5.140000000000000000e+02
1.003300000000000000e+04,5.210000000000000000e+02
1.003400000000000000e+04,4.700000000000000000e+02
1.003500000000000000e+04,4.810000000000000000e+02
1.003600000000000000e+04,4.690000000000000000e+02
1.003700000000000000e+04,5.000000000000000000e+02
1.003800000000000000e+04,4.750000000000000000e+02
