#Bucket,AimdCC-
0.000000000000000000e+00,2.775082161060142600e+04
1.000000000000000000e+00,4.276612400000000300e+04
2.000000000000000000e+00,4.723752199999999700e+04
3.000000000000000000e+00,4.660003800000000000e+04
4.000000000000000000e+00,4.546520199999999700e+04
5.000000000000000000e+00,4.595258999999999700e+04
6.000000000000000000e+00,4.717630700000000100e+04
7.000000000000000000e+00,4.672957000000000000e+04
8.000000000000000000e+00,4.694750600000000100e+04
9.000000000000000000e+00,4.773073999999999800e+04
1.000000000000000000e+01,4.677313599999999900e+04
1.100000000000000000e+01,4.552238900000000300e+04
1.200000000000000000e+01,4.573083800000000300e+04
1.300000000000000000e+01,4.698322800000000300e+04
1.400000000000000000e+01,4.689683800000000300e+04
1.500000000000000000e+01,4.610777399999999800e+04
1.600000000000000000e+01,4.666591700000000100e+04
1.700000000000000000e+01,4.655885700000000400e+04
1.800000000000000000e+01,4.732242800000000000e+04
1.900000000000000000e+01,4.787622499999999900e+04
2.000000000000000000e+01,4.696679800000000300e+04
2.100000000000000000e+01,4.570513300000000200e+04
2.200000000000000000e+01,4.542561099999999700e+04
2.300000000000000000e+01,4.704571499999999700e+04
2.400000000000000000e+01,4.728220100000000100e+04
2.500000000000000000e+01,4.768277500000000100e+04
2.600000000000000000e+01,4.681845100000000100e+04
2.700000000000000000e+01,4.688666199999999700e+04
2.800000000000000000e+01,4.611948700000000100e+04
2.900000000000000000e+01,4.605874900000000300e+04
3.000000000000000000e+01,4.686328899999999700e+04
3.100000000000000000e+01,4.716734999999999900e+04
3.200000000000000000e+01,4.661641500000000100e+04
3.300000000000000000e+01,4.629433400000000300e+04
3.400000000000000000e+01,4.671218600000000200e+04
3.500000000000000000e+01,4.580699900000000300e+04
3.600000000000000000e+01,4.621557600000000100e+04
3.700000000000000000e+01,4.676046899999999700e+04
3.800000000000000000e+01,4.743139600000000100e+04
3.900000000000000000e+01,4.739848300000000000e+04
4.000000000000000000e+01,4.670842300000000300e+04
4.100000000000000000e+01,4.642641000000000300e+04
4.200000000000000000e+01,4.739853600000000000e+04
4.300000000000000000e+01,4.693091700000000100e+04
4.400000000000000000e+01,4.611561800000000200e+04
4.500000000000000000e+01,4.613655300000000000e+04
4.600000000000000000e+01,4.658673500000000100e+04
4.700000000000000000e+01,4.685857200000000000e+04
4.800000000000000000e+01,4.669655099999999900e+04
4.900000000000000000e+01,4.696149800000000000e+04
5.000000000000000000e+01,4.501237000000000300e+04
5.100000000000000000e+01,4.601995300000000100e+04
5.200000000000000000e+01,4.774080999999999800e+04
5.300000000000000000e+01,4.731638599999999900e+04
5.400000000000000000e+01,4.660772299999999800e+04
5.500000000000000000e+01,4.682322099999999800e+04
5.600000000000000000e+01,4.683917399999999900e+04
5.700000000000000000e+01,4.678278199999999900e+04
5.800000000000000000e+01,4.607761699999999800e+04
5.900000000000000000e+01,4.536741700000000100e+04
6.000000000000000000e+01,4.595089400000000000e+04
6.100000000000000000e+01,4.646499399999999900e+04
6.200000000000000000e+01,4.829900600000000100e+04
6.300000000000000000e+01,4.647877399999999800e+04
6.400000000000000000e+01,4.594607100000000400e+04
6.500000000000000000e+01,4.637961099999999700e+04
6.600000000000000000e+01,4.550982800000000100e+04
6.700000000000000000e+01,4.673131900000000300e+04
6.800000000000000000e+01,4.679285199999999900e+04
6.900000000000000000e+01,4.670625000000000000e+04
7.000000000000000000e+01,4.665208400000000300e+04
7.100000000000000000e+01,4.614948500000000100e+04
7.200000000000000000e+01,4.740648599999999700e+04
7.300000000000000000e+01,4.775877700000000200e+04
7.400000000000000000e+01,4.670863500000000200e+04
7.500000000000000000e+01,4.603018200000000100e+04
7.600000000000000000e+01,4.655880399999999600e+04
7.700000000000000000e+01,4.635591999999999800e+04
7.800000000000000000e+01,4.693473300000000000e+04
7.900000000000000000e+01,4.649393200000000100e+04
8.000000000000000000e+01,4.632671699999999700e+04
8.100000000000000000e+01,4.627721499999999700e+04
8.200000000000000000e+01,4.658456199999999800e+04
8.300000000000000000e+01,4.590478400000000000e+04
8.400000000000000000e+01,4.604671800000000100e+04
8.500000000000000000e+01,4.644480099999999900e+04
8.600000000000000000e+01,4.639074100000000200e+04
8.700000000000000000e+01,4.658037500000000000e+04
8.800000000000000000e+01,4.658132899999999800e+04
8.900000000000000000e+01,4.673911000000000100e+04
9.000000000000000000e+01,4.643706300000000200e+04
9.100000000000000000e+01,4.711821899999999700e+04
9.200000000000000000e+01,4.686381900000000300e+04
9.300000000000000000e+01,4.661434799999999800e+04
9.400000000000000000e+01,4.579247699999999900e+04
9.500000000000000000e+01,4.715786299999999800e+04
9.600000000000000000e+01,4.681103100000000300e+04
9.700000000000000000e+01,4.664699599999999900e+04
9.800000000000000000e+01,4.693547499999999900e+04
9.900000000000000000e+01,4.739986099999999700e+04
1.000000000000000000e+02,4.687240499999999900e+04
1.010000000000000000e+02,4.684733600000000300e+04
1.020000000000000000e+02,4.651841799999999800e+04
1.030000000000000000e+02,4.630509300000000100e+04
1.040000000000000000e+02,4.608471899999999700e+04
1.050000000000000000e+02,4.772475099999999700e+04
1.060000000000000000e+02,4.795175000000000000e+04
1.070000000000000000e+02,4.668293000000000000e+04
1.080000000000000000e+02,4.691507000000000000e+04
1.090000000000000000e+02,4.689270399999999800e+04
1.100000000000000000e+02,4.561084599999999800e+04
1.110000000000000000e+02,4.661042599999999900e+04
1.120000000000000000e+02,4.703840099999999800e+04
1.130000000000000000e+02,4.696139200000000000e+04
1.140000000000000000e+02,4.616034999999999900e+04
1.150000000000000000e+02,4.670662099999999900e+04
1.160000000000000000e+02,4.710851999999999700e+04
1.170000000000000000e+02,4.756771200000000000e+04
1.180000000000000000e+02,4.746711800000000200e+04
1.190000000000000000e+02,4.756824199999999800e+04
1.200000000000000000e+02,4.648926799999999600e+04
1.210000000000000000e+02,4.723158600000000300e+04
1.220000000000000000e+02,4.694146400000000000e+04
1.230000000000000000e+02,4.661063799999999900e+04
1.240000000000000000e+02,4.555630900000000100e+04
1.250000000000000000e+02,4.721086299999999800e+04
1.260000000000000000e+02,4.768208600000000300e+04
1.270000000000000000e+02,4.684150600000000100e+04
1.280000000000000000e+02,4.626794000000000200e+04
1.290000000000000000e+02,4.485474800000000000e+04
1.300000000000000000e+02,4.612001700000000000e+04
1.310000000000000000e+02,4.702568099999999700e+04
1.320000000000000000e+02,4.679338199999999800e+04
1.330000000000000000e+02,4.665293200000000100e+04
1.340000000000000000e+02,4.769512400000000300e+04
1.350000000000000000e+02,4.817996800000000100e+04
1.360000000000000000e+02,4.679046699999999700e+04
1.370000000000000000e+02,4.607300600000000100e+04
1.380000000000000000e+02,4.689106100000000200e+04
1.390000000000000000e+02,4.636673200000000400e+04
1.400000000000000000e+02,4.630795500000000200e+04
1.410000000000000000e+02,4.633630999999999800e+04
