#Bucket,BasicCC-
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,6.120000000000000000e+03
1.900000000000000000e+01,1.055500000000000000e+04
2.000000000000000000e+01,1.082600000000000000e+04
2.100000000000000000e+01,1.100300000000000000e+04
2.200000000000000000e+01,1.090100000000000000e+04
2.300000000000000000e+01,1.092900000000000000e+04
2.400000000000000000e+01,1.099600000000000000e+04
2.500000000000000000e+01,1.096000000000000000e+04
2.600000000000000000e+01,1.097000000000000000e+04
2.700000000000000000e+01,1.093900000000000000e+04
2.800000000000000000e+01,1.101000000000000000e+04
2.900000000000000000e+01,1.099300000000000000e+04
3.000000000000000000e+01,1.089100000000000000e+04
3.100000000000000000e+01,1.098100000000000000e+04
3.200000000000000000e+01,1.094500000000000000e+04
3.300000000000000000e+01,1.100600000000000000e+04
3.400000000000000000e+01,1.098700000000000000e+04
3.500000000000000000e+01,1.094100000000000000e+04
3.600000000000000000e+01,1.097600000000000000e+04
3.700000000000000000e+01,1.097100000000000000e+04
3.800000000000000000e+01,1.095700000000000000e+04
3.900000000000000000e+01,1.092600000000000000e+04
4.000000000000000000e+01,1.096900000000000000e+04
4.100000000000000000e+01,1.104300000000000000e+04
4.200000000000000000e+01,1.089500000000000000e+04
4.300000000000000000e+01,1.088600000000000000e+04
4.400000000000000000e+01,1.100600000000000000e+04
4.500000000000000000e+01,1.101200000000000000e+04
4.600000000000000000e+01,1.099200000000000000e+04
4.700000000000000000e+01,1.093600000000000000e+04
4.800000000000000000e+01,1.094500000000000000e+04
4.900000000000000000e+01,1.095700000000000000e+04
5.000000000000000000e+01,1.096300000000000000e+04
5.100000000000000000e+01,1.095800000000000000e+04
5.200000000000000000e+01,1.098900000000000000e+04
5.300000000000000000e+01,1.094800000000000000e+04
5.400000000000000000e+01,1.101500000000000000e+04
5.500000000000000000e+01,1.085800000000000000e+04
5.600000000000000000e+01,1.101100000000000000e+04
5.700000000000000000e+01,1.094400000000000000e+04
5.800000000000000000e+01,1.094300000000000000e+04
5.900000000000000000e+01,1.095500000000000000e+04
6.000000000000000000e+01,1.099400000000000000e+04
6.100000000000000000e+01,1.099200000000000000e+04
6.200000000000000000e+01,1.095600000000000000e+04
6.300000000000000000e+01,1.091700000000000000e+04
6.400000000000000000e+01,1.098400000000000000e+04
6.500000000000000000e+01,1.097800000000000000e+04
6.600000000000000000e+01,1.098200000000000000e+04
