#Bucket,PerfectCC-
1.000000000000000000e+03,0.000000000000000000e+00
1.001000000000000000e+03,0.000000000000000000e+00
1.002000000000000000e+03,0.000000000000000000e+00
1.003000000000000000e+03,0.000000000000000000e+00
1.004000000000000000e+03,0.000000000000000000e+00
1.005000000000000000e+03,0.000000000000000000e+00
1.006000000000000000e+03,0.000000000000000000e+00
1.007000000000000000e+03,0.000000000000000000e+00
1.008000000000000000e+03,0.000000000000000000e+00
1.009000000000000000e+03,0.000000000000000000e+00
1.010000000000000000e+03,0.000000000000000000e+00
1.011000000000000000e+03,0.000000000000000000e+00
1.012000000000000000e+03,0.000000000000000000e+00
1.013000000000000000e+03,0.000000000000000000e+00
1.014000000000000000e+03,0.000000000000000000e+00
1.015000000000000000e+03,0.000000000000000000e+00
1.016000000000000000e+03,0.000000000000000000e+00
1.017000000000000000e+03,8.866900000000000000e+04
1.018000000000000000e+03,8.829800000000000000e+04
1.019000000000000000e+03,8.697300000000000000e+04
1.020000000000000000e+03,9.195500000000000000e+04
1.021000000000000000e+03,8.978200000000000000e+04
1.022000000000000000e+03,8.972900000000000000e+04
1.023000000000000000e+03,8.872200000000000000e+04
1.024000000000000000e+03,8.994100000000000000e+04
1.025000000000000000e+03,8.904000000000000000e+04
1.026000000000000000e+03,9.131900000000000000e+04
1.027000000000000000e+03,8.718500000000000000e+04
1.028000000000000000e+03,8.957000000000000000e+04
1.029000000000000000e+03,8.925200000000000000e+04
1.030000000000000000e+03,9.105400000000000000e+04
1.031000000000000000e+03,8.750300000000000000e+04
1.032000000000000000e+03,8.707900000000000000e+04
1.033000000000000000e+03,9.211400000000000000e+04
1.034000000000000000e+03,8.564800000000000000e+04
1.035000000000000000e+03,8.898700000000000000e+04
1.036000000000000000e+03,8.893400000000000000e+04
1.037000000000000000e+03,9.179600000000000000e+04
1.038000000000000000e+03,8.681400000000000000e+04
1.039000000000000000e+03,9.052400000000000000e+04
1.040000000000000000e+03,8.617800000000000000e+04
1.041000000000000000e+03,8.866900000000000000e+04
1.042000000000000000e+03,9.084200000000000000e+04
1.043000000000000000e+03,8.856300000000000000e+04
1.044000000000000000e+03,9.052400000000000000e+04
1.045000000000000000e+03,8.845700000000000000e+04
1.046000000000000000e+03,8.925200000000000000e+04
1.047000000000000000e+03,8.946400000000000000e+04
1.048000000000000000e+03,8.994100000000000000e+04
1.049000000000000000e+03,8.851000000000000000e+04
1.050000000000000000e+03,8.925200000000000000e+04
1.051000000000000000e+03,9.063000000000000000e+04
1.052000000000000000e+03,9.100100000000000000e+04
1.053000000000000000e+03,8.617800000000000000e+04
1.054000000000000000e+03,9.057700000000000000e+04
1.055000000000000000e+03,8.554200000000000000e+04
1.056000000000000000e+03,9.084200000000000000e+04
1.057000000000000000e+03,9.004700000000000000e+04
1.058000000000000000e+03,9.078900000000000000e+04
1.059000000000000000e+03,8.702600000000000000e+04
1.060000000000000000e+03,8.628400000000000000e+04
1.061000000000000000e+03,8.930500000000000000e+04
1.062000000000000000e+03,8.872200000000000000e+04
1.063000000000000000e+03,8.829800000000000000e+04
1.064000000000000000e+03,8.951700000000000000e+04
1.065000000000000000e+03,9.264400000000000000e+04
1.066000000000000000e+03,8.909300000000000000e+04
1.067000000000000000e+03,9.179600000000000000e+04
1.068000000000000000e+03,9.020600000000000000e+04
1.069000000000000000e+03,8.904000000000000000e+04
1.070000000000000000e+03,9.322700000000000000e+04
1.071000000000000000e+03,9.142500000000000000e+04
1.072000000000000000e+03,8.994100000000000000e+04
1.073000000000000000e+03,9.131900000000000000e+04
1.074000000000000000e+03,8.919900000000000000e+04
1.075000000000000000e+03,8.898700000000000000e+04
1.076000000000000000e+03,8.930500000000000000e+04
1.077000000000000000e+03,8.750300000000000000e+04
