Bucket,Value
159.5,0
179.5,87987.9
199.5,88149.6
219.5,88019.8
239.5,87879.3
259.5,88133.7
279.5,87932.3
299.5,88125.8
319.5,88128.4
339.5,88080.7
359.5,88186.7
379.5,87897.9
399.5,88043.6
419.5,87868.7
439.5,87842.2
459.5,87974.7
479.5,87980
499.5,88165.5
519.5,87866.1
539.5,87961.4
559.5,87866.1
579.5,87972.1
599.5,87730.9
619.5,87940.2
639.5,88056.9
659.5,88170.8
679.5,87887.2
699.5,87866.1
719.5,87863.4
739.5,88252.9
759.5,87821
779.5,88231.8
799.5,88168.1
819.5,88062.1
839.5,88056.9
859.5,87821
879.5,88131.1
899.5,87937.6
919.5,88017.1
939.5,87985.3
959.5,88043.6
979.5,87667.3
