#Bucket,QLearnCC-
1.800000000000000000e+01,9.573000000000000400e+00
1.900000000000000000e+01,1.040100000000000000e+01
2.000000000000000000e+01,1.133000000000000000e+01
2.100000000000000000e+01,1.150799999999999900e+01
2.200000000000000000e+01,9.131999999999999700e+00
2.300000000000000000e+01,1.121500000000000000e+01
2.400000000000000000e+01,9.785000000000000100e+00
2.500000000000000000e+01,9.348000000000000800e+00
2.600000000000000000e+01,1.074499999999999900e+01
2.700000000000000000e+01,1.073400000000000000e+01
2.800000000000000000e+01,9.135999999999999200e+00
2.900000000000000000e+01,7.501000000000000300e+00
3.000000000000000000e+01,7.950000000000000200e+00
3.100000000000000000e+01,7.910999999999999600e+00
3.200000000000000000e+01,9.349000000000000200e+00
3.300000000000000000e+01,1.074200000000000100e+01
3.400000000000000000e+01,8.436999999999999400e+00
3.500000000000000000e+01,7.780999999999999700e+00
3.600000000000000000e+01,8.378999999999999600e+00
3.700000000000000000e+01,9.730000000000000400e+00
3.800000000000000000e+01,9.757999999999999100e+00
3.900000000000000000e+01,7.956999999999999900e+00
4.000000000000000000e+01,1.039300000000000100e+01
4.100000000000000000e+01,1.040199999999999900e+01
4.200000000000000000e+01,1.229800000000000000e+01
4.300000000000000000e+01,9.432999999999999800e+00
4.400000000000000000e+01,1.099600000000000000e+01
4.500000000000000000e+01,1.085100000000000100e+01
4.600000000000000000e+01,1.315400000000000000e+01
4.700000000000000000e+01,8.582000000000000700e+00
4.800000000000000000e+01,1.105500000000000000e+01
4.900000000000000000e+01,9.602999999999999800e+00
5.000000000000000000e+01,9.009000000000000300e+00
5.100000000000000000e+01,8.282999999999999500e+00
5.200000000000000000e+01,7.142999999999999800e+00
5.300000000000000000e+01,7.352999999999999800e+00
5.400000000000000000e+01,8.492000000000000900e+00
5.500000000000000000e+01,8.060999999999999900e+00
5.600000000000000000e+01,7.790000000000000000e+00
5.700000000000000000e+01,8.650999999999999800e+00
5.800000000000000000e+01,8.499000000000000600e+00
5.900000000000000000e+01,6.711000000000000300e+00
6.000000000000000000e+01,9.612000000000000100e+00
6.100000000000000000e+01,1.263700000000000000e+01
6.200000000000000000e+01,8.207000000000000700e+00
6.300000000000000000e+01,1.043000000000000000e+01
6.400000000000000000e+01,1.025600000000000000e+01
6.500000000000000000e+01,9.718000000000000000e+00
6.600000000000000000e+01,7.812999999999999700e+00
6.700000000000000000e+01,8.494999999999999200e+00
6.800000000000000000e+01,9.092000000000000500e+00
6.900000000000000000e+01,8.069000000000000800e+00
7.000000000000000000e+01,8.208999999999999600e+00
7.100000000000000000e+01,9.233000000000000500e+00
7.200000000000000000e+01,7.057999999999999800e+00
7.300000000000000000e+01,9.272999999999999700e+00
7.400000000000000000e+01,7.418000000000000100e+00
7.500000000000000000e+01,6.283000000000000400e+00
7.600000000000000000e+01,8.669000000000000500e+00
7.700000000000000000e+01,7.823999999999999800e+00
7.800000000000000000e+01,1.034900000000000000e+01
7.900000000000000000e+01,9.638999999999999300e+00
8.000000000000000000e+01,1.011700000000000100e+01
